District,County,avg_price,avg_bandwidth,avg_crime,avg_2024,avg_attainment8,norm_bandwidth,norm_price,norm_rate,norm_pop,norm_school,score,rating_score_scaled,rating_1_to_10,recommendation
BARNSLEY,SOUTH YORKSHIRE,189912.34391270237,40.71471498816245,336.2271158195453,36435.62200564927,44.763333333333335,0.24111966283528244,1,0.49963704752965354,1,0.2690800872418927,0.6120971863154233,10,10,Highly Recommended
WAKEFIELD,WEST YORKSHIRE,241921.8060005085,37.75691489361702,236.2868061526703,36232.38410610175,49.38965517241379,0.028698683657198402,0.5464650150310397,0.8418403026725185,0.9810010578787923,1,0.601401159022008,9.645536619300783,10,Highly Recommended
DONCASTER,SOUTH YORKSHIRE,195493.85985165357,38.656113153268336,237.70455971554068,31529.465236140066,44.60188679245283,0.09327660261210215,0.951327842168363,0.8369858061653355,0.541366109820063,0.243572892610805,0.5759597684705401,8.802415986080812,9,Highly Recommended
ROTHERHAM,SOUTH YORKSHIRE,210414.56989325923,42.71758070789576,372.21117733048465,33094.44671581182,44,0.38495991023149967,0.8212156715594612,0.37642487194855345,0.6876626057946938,0.14847984523273444,0.513647488827356,6.73740430506206,7,Recommended
CALDERDALE,WEST YORKSHIRE,210459.9462934947,37.3573076158282,190.09633633633635,25738.294846541256,45.09399039691426,0,0.8208199784649242,1,0,0.32132112028542553,0.4873371066447736,5.865485529979286,6,Recommended
KIRKLEES,WEST YORKSHIRE,232178.60956248004,46.752842273819056,392.1223572604127,28976.31673515767,45.09399039691426,0.674761176603036,0.6314280250812225,0.3082474707731093,0.30269448063570437,0.32132112028542553,0.4811454522382402,5.660295818616811,6,Recommended
BRADFORD,WEST YORKSHIRE,210402.95724693252,49.92179511278196,459.265141121129,27474.58421076214,43.060204081632655,0.9023465588143119,0.8213169366209676,0.07834544952585631,0.16231057893209866,0,0.47484882308009874,5.451627273073917,5,Not Recommended
LEEDS,WEST YORKSHIRE,304588.0884781754,51.28154478858759,482.1458950851313,30182.880622845125,44.844915254237286,1,0,0,0.41548563582255416,0.28196934410379887,0.340519779783763,1,1,Not Recommended
SHEFFIELD,SOUTH YORKSHIRE,290215.46898137324,40.96097690752368,334.2029860399935,32795.51417362033,44.99793814432989,0.2588055091984142,0.12533268958717114,0.5065678225262795,0.6597180045176383,0.3061456728087455,0.3522487732864865,1.3886955946469914,1,Not Recommended
